item,listing
gathered_skirt,"Girl Skirt Pattern, PDF sewing pattern,easy pattern girls,pdf girls pattern,girls skirt pdf,little girls pattern,girls pdf sewing,pdf sewing"
criss_cross_cape,"Girl Cape PDF, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lottie_bonnet,"Baby Bonnet PDF, baby hat pattern, bonnet sewing pdf, bonnet pattern, toddler bonnet pdf, newborn, 3 mo, 6-12 mo, 12-18 mo, 2T, 3T sizes"
criss_cross_cape,"Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lottie_bonnet,"Baby Bonnet PDF, bonnet pattern, newborn pdf, baby hat pattern, baby sewing pattern, sizes newborn, 3 mo, 6 mo, 12 mo, 18mo, 2, 3 years"
belted_shorts,"Girl Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, pattern shorts, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7, 8"
lucy,"Girl Blouse Pattern, girl top pattern, children blouse pdf, kids pdf pattern, girl pdf pattern, size 2T, 3T, 4T, 5, 6, 7, 8,10,12"
flora,"Baby Diaper PDF, first birthday girl, baby sewing pattern, baby girl pdf, newborn pdf, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
flora,"Diaper Cover PDF, baby sewing pattern, baby pdf pattern, newborn pdf, baby patterns, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
venezia,"Baby Girl Romper PDF,baby sewing pattern,romper pdf pattern,baby girl patterns,summer baby PDF, children patterns, baby pdf, sewing pattern,"
beaded_collar,"Beaded Collar PDF, collar pattern, cape collar PDF, jeweled collar pdf, girl collar pdf, collar pdf download, size 4-6, 8-10, 12-14 girls"
criss_cross_cape,"Girl Cape PDF A4, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lucy,"Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, fall clothing pdf, size 2T, 3T, 4T, 5, 6"
lucy,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, toddler top pattern, sizes 3/4, 5/6, 7/8, 9/10, 11/12"
gathered_skirt,"Girl Skirt PDF, skirt pattern, elastic skirt PDF, easy sewing pattern, gathered skirt PDF, skirt download, tween skirt pattern, size 3-14"
cali,"Girl blouse PDF, girl dress pattern, sewing girl pattern, kids pdf, top girl pattern, boho blouse pdf, Cali pattern, Cali, size 2T,3T,4T,5,6"
criss_cross_cape,"Girl Cape PDF A4, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, Criss cross cape, girl coat pdf, cape sewing PDF"
criss_cross_cape,"Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl coat pdf, cape sewing PDF, winter pdf, Criss Cross Cape,"
lucy,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 3/4,5/6,7/8,9/10, 11/12"
marcelle,"Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, Marcelle Blouse pdf, size 2T, 3T, 4T, 5, 6"
charlotte,"Girls Blouse PDF, sewing pattern, top pattern, Charlotte pattern, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8"
charlotte,"Girls Blouse PDF, sewing pattern, top pattern, Charlotte pdf, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8"
venezia,"Baby Girl Romper PDF, Venezia Romper PDF, baby girl patterns, summer baby PDF, baby sewing patterns, toddler pattern, 0-3, 6, 9, 12, 18 mo"
lucy,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 2T,3T,4T,5T,6,7,8,10,12"
angelica,"Girl Blouse Pattern, Angelica Blouse PDF, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, size 2T, 3T, 4T, 5, 6, 7,8,10,12"
belted_shorts,"Girl Shorts PDF, Belted Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7,8"
venezia,"Baby Girl Romper PDF, Venezia Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf"
angelica,"Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, girl blouse pdf, girl shirt pdf"
venezia,"Venezia Romper PDF, Baby Girl Romper PDF, baby patterns, summer baby PDF, baby sewing patterns, toddler pattern, bubble romper pdf, baby pdf"
belted_shorts,"Belted Shorts PDF, girl short pattern, summer shorts pdf, pdf pattern, elastic shorts pdf, children shorts pdf, girl pattern,easy sewing pdf"
charlotte,"Charlotte PDF, child's blouse pdf, sewing pattern, top pattern, girl dress pdf, girl pdf, girl dress pattern, pdf patterns, girl blouse pdf"
hazel,"Hazel PDf, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
hazel,"Hazel PDf, girl top pattern, girl pdf, girl shirt pdf, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
angelica,"Angelica Blouse PDF, girl blouse pattern, girl top pattern, children blouse pdf, kids pdf, top pdf, girl blouse pdf, pdf sewing pattern"
charlotte,"Charlotte Dress PDF, summer pattern, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern"
criss_cross_cape,"Criss-Cross Cape PDF, cape pattern, girl coat pattern, coat sewing pattern, girl coat pdf, cape sewing PDF, winter pdf, girl cape pdf,"
hazel,"Hazel PDF, girl top pattern, girl pdf, girl pattern, children's pattern, tween top pdf, toddler pattern, girl summer pdf, girl blouse pdf"
marcelle,"Marcelle Blouse PDF, girl blouse pdf, girl sewing pdf, childrens blouse pdf, girl pattern, easy sewing pattern, toddler pattern,girl pattern"
rosie_cotton,"Rosie Cotton PDF, girl dress pattern, dress pdf, summer dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern"
rosie_cotton,"Rosie Cotton PDF, girl dress pdf, summer dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, dress girl pattern, dress pdf"
gathered_skirt,"Gathered Skirt PDF, sewing pattern, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf"
cali,"Cali Blouse PDF, girl blouse pdf, girl dress pattern, sewing girl pattern, kids pdf, top girl pattern, boho blouse pdf, sewing pdf"
mae,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby pdf"
mae,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween sewing, baby dress pdf"
mae,"Mae Dress PDF, girl dress pattern, dress pdf, girl summer pdf, tween pattern, baby pdf, girl dress pdf, sewing pdf, sewing patterns"
lucy,"Lucy Blouse PDF, girl pattern, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, girl sewing pdf, toddler pdf"
hastings_vest,"Hastings Vest PDF, boy pattern, vest pdf, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf"
hastings_vest,"Hastings Vest PDF, vest pattern, sewing for boys, fall pattern, boy pdf, easy pattern, fall clothing pdf, boy easy pdf, outerwear pdf"
hastings_vest,"Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, fall clothing pdf, boy pattern, outerwear pdf"
duchess,"Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf, girl pdf"
duchess,"Duchess Dress PDF, dress pattern, girl sewing pattern, dress pdf, girl dress pdf,girl pdf,holiday dress pdf,girl dress pattern,kids pattern"
melbourne,"Melbourne Romper PDF, boy romper pattern, girl romper pdf, romper pdf, kids sewing patterns, sewing pdf, kid romper, toddler romper pdf"
rosie_cotton,"Rosie Cotton PDF, girl dress pdf, holiday dress pdf, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, sewing pattern, dress pdf"
charlotte,"Charlotte Dress PDF, fall patterns, blouse pattern, girl dress pattern, girl dress pdf, easy dress pattern, girl sewing pdf, girl pattern"
rosie_cotton,"Rosie Cotton PDF, girl dress pattern, dress pdf, holiday dress pdf, flutter sleeve pdf, girl pattern, girl pdf, sewing pdf, sewing pattern"
gathered_skirt,"Gathered Skirt PDF, holiday skirt PDF, girls easy pattern, pdf pattern, girls skirt pdf, little girls pattern, pdf sewing, toddler skirt pdf"
lottie_bonnet,"Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, baby hat pattern, bonnet sewing, toddler bonnet pdf, baby patterns, baby bonnet pdf"
constance_cape,"Constance Cape PDF, girl cape pattern, winter coat pdf, cape pdf, girl pattern, sewing pdf, girl coat pattern,wedding cape pdf,cape pattern"
macy,"Macy Pinafore PDF, suspender skirt pdf, pinafore pattern, toddler pinafore, sewing patterns, tween skirt pdf,pinny pattern,kids pinafore pdf"
macy,"Macy Pinafore PDF, suspender skirt pdf, pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
macy,"Macy Pinafore, suspender skirt pdf, pinafore pattern, toddler pinafore, tween skirt pdf, pinny pattern, kids pinafore pdf"
flora,"Diaper Cover PDF, baby patterns, diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern"
sadie,"Sadie Skirt PDF, girl skirt pattern, skirt pdf, sewing pdf, easy pattern, skirt pattern, sewing patterns, toddler patterns, tween pdf"
macy,"Macy Pinafore PDF, suspender skirt pdf, Easter PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
marlow,"Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern, kids sewing"
marlow,"Marlow Dress PDF, girl dress pattern, girl patterns, dress pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern,summer dress pdf"
lottie_bonnet,"Lottie Bonnet PDF, bonnet pattern, newborn bonnet pdf, sewing pattern, toddler bonnet pdf, baby patterns, baby bonnet pdf"
flora,"Diaper Cover PDF,baby sewing patterns,diaper cover pattern, nappy cover pdf, baby nappy pdf, sewing patterns, easy patterns, toddler pattern"
penny,"Penny Blouse PDF, girl blouse pattern, girl pdf, sewing pattern, children's pattern, top pattern, summer pdf, girl pattern, flutter pattern"
sadie,"Sadie Skirt PDF, girl skirt pdf, skirt pdf, sewing pdf, skirt sewing pattern, easy PDF, sewing patterns, toddler patterns, tween pdf"
hastings_vest,"Hastings Vest PDF, vest pattern, sewing for boys, fall patterns, boy pdf, easy pattern, easter vest pdf, boy pattern, outerwear pdf,"
macy,"Macy Pinafore PDF,suspender skirt pdf,pinafore PDF,pinny pattern, tween pinafore, sewing patterns, girl patterns, toddler pdf, kids patterns"
mona,"Mona Shorts PDF, girls sewing pdf, tween pattern, girl pattern, bloomer pdf, sewing pattern, sewing pdf, toddler pattern, bubble shorts pdf"
mona,"Mona Shorts PDF, bubble shorts pdf, girl shorts pattern, bloomer pdf, sewing pattern, girl pdf, toddler shorts pdf, tween pattern, kids pdf"
angelica,"Angelica PDF, dress pattern, girl pdf, dress pdf, pdf sewing pattern, girl top pattern, blouse pattern, girl pattern, flutter sleeves,"
angelica,"Angelica PDF, blouse pattern, girl pattern, sewing pattern, sewing pdf, toddler pdf, tween pattern, top pattern, girl sewing, flutter sleeve"
mona,"Mona Shorts PDF, bubble shorts, toddler shorts, girls sewing pdf, baby pdf, baby pattern, bloomer pdf, bloomer pattern, tween shorts"
laurel,"Laurel Blouse PDF, girls blouse pattern, blouse pdf, sewing patterns, children's blouse, tween pattern, ruffle top pdf, toddler pdf"
laurel,"Laurel Blouse PDF, girls blouse pattern, blouse pdf, girl sewing pattern, children's blouse, tween pattern, ruffle top pdf, toddler pdf,"
ainsley,"Ainsley Pinafore, girls sewing pattern, girl pinafore, pinafore pdf, pinny sewing pattern, girl pdf, girl dress, dress pattern, kids pattern"
laurel,"Laurel Blouse PDF, girls blouse pattern, sewing pdf, blouse pdf, sewing patterns, children's patterns, long sleeve pdf, ruffle blouse pdf"
lola,"Lola Blouse PDF, girl blouse pattern, girl pdf, bell sleeve pdf, girl pattern, girl sewing, flounce collar pdf, children pattern,toddler pdf"
lola,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, girl knit pdf, sewing patterns, easy pattern, girl pdf, jillyatlanta"
long_island_top,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, tank top pdf, sewing patterns, easy pattern, girl pdf, tween pattern"
long_island_top,"Long Island Top, knit top, girl pattern, pdf pattern, knit pattern, tank top pattern, sewing patterns, easy pattern, girl pdf, tween pattern"
long_island_top,"Long Island Top, knit top, girl pattern, pdf pattern, knit pdf, girl knit pdf, sewing patterns, easy pattern, girl pdf, knit fabric patterns"
lola,"Lola Blouse PDF, girl blouse pattern, girl pdf, long sleeve pdf, girl pattern, sewing pdf, gathered collar pdf, children pattern,toddler pdf"
marlow_addon,"Marlow Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, kids pattern, girl pdf, sewing pattern, kids pdf"
marlow_peplum,"Marlow Peplum PDF, girl dress, peplum top pattern, tween sewing pattern, girl top pattern, girl sewing pattern, girl pdf, sewing pattern"
marlow_bundle,"Marlow Bundle PDF, girl dress, peplum top pattern, tween sewing pattern, girl top pattern, girl sewing pattern, girl pdf, sewing pattern"
agatha,"Agatha Top and Dress, girls pdf pattern, dress pattern, sewing patterns, girl sewing pattern, blouse pdf, top pdf pattern, JillyAtlanta"
birdie,"Birdie Dress PDF, girl dress pattern, vintage style pdf, ruffle dress, girl pdf, sewing patterns, sewing, pdf sewing patterns, jillyatlanta"
camden,"Camden Dress PDF, girl sewing pattern, easy dress pattern, toddler dress pdf, girl pdf, sewing pdf, tween dress pattern, kids pattern"
raine,"Raine Tote PDF, rainbow pdf, rainbow tote bag, purse patterns, bag pattern, easy tote pdf, tote patterns, purse pattern, jillyatlanta"
louisa,"Louisa Pinafore PDF, girl pinafore pdf, girl patterns, pdf patterns, girl dress pdf, sewing pattern, pinafore dress pdf, sewing dress pdf"
hillary,"Hillary Skirt PDF, girl skirt pdf, high low skirt, sewing pdf, skirt sewing pattern, sewing patterns, toddler pdf, tween pdf, skirt pattern"
cora,"Cora Blouse PDF, short sleeve blouse, sewing patterns, blouse pdf, girl blouse pdf, gathered blouse, girl patterns, long sleeve pdf,easy pdf"
raine,"Raine Tote PDF, rainbow tote bag, purse patterns, bag pattern, easy tote pdf, rainbow pdf, tote patterns, little purse pattern, jillyatlanta"
livie,"Livie Tank and Dress, girl tank, girl dress pdf, girl pdf, sewing pdf, sewing patterns, toddler pattern, dress patterns, tween dresses, pdf"
clara,"Clara bow, hair bow pdf, baby pattern, girl bow pdf, easy bow pdf, toddler hair bow, hair bow pattern, simple hair bow, bow,jillyatlanta"
livie,"Livie Tank and Dress, girl tank, girl dress pdf, sewing for girls, sewing pdf, sewing patterns, toddler pattern,dress patterns,tween dresses"
bordeaux,"Bordeaux Peplum + Dress, girls knit pattern, knit peplum, easy sewing pdf, knit pdf, girls pattern,girls top pdf,knit dress pdf,jillyatlanta"
bordeaux,"Bordeaux Peplum + Dress, girls knit pattern, knit peplum, easy pattern, knit pattern, girls pattern, girls top pdf, knit dress pattern"
rosie_cotton,"Rosie Cotton PDF, girl dress pdf, sundress pattern, girl pattern, flutter sleeve pdf, girl pdf, dress pattern, sewing pattern, girl dress"
rosie_cotton,"Rosie Cotton PDF, girl dress pattern, dress pdf, holiday dress pdf, flutter sleeve, girl pattern, girl pdf, sewing pdf, sewing pattern"
angelica,"Angelica PDF, dress pattern, girl pattern, sewing pattern, sewing pdf, toddler pdf, tween pattern, top pattern, girl sewing,flutter sleeve"
camden,"Camden Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, tunic pdf, girl pdf, sewing pattern, easy pattern"
marlow_addon,"Marlow Add-on PDF, girl top pattern, girl pdf pattern, blouse pdf, girl sewing pattern, tunic pdf, girl pdf, sewing pattern, easy pattern"
long_island_top,"Long Island Top, knit top, girl pattern, children pdf, toddler pdf pattern, sewing pattern, easy pattern, knit pattern, flutter sleeve"
penny,"Penny Blouse PDF, girl blouse pattern, girl pdf, sewing pdf pattern, children pdf, top pattern, summer pdf, girl pattern, flutter pattern"
meri,"Meri Dress, girl top pattern, dress pdf, sewing pattern, sewing pdf, high low pattern, top pdf, girl sewing pattern, children pattern"
bellaire,"Bellaire Bottoms PDF, knit pant pdf, girl knit shorts, knit shorts pattern, girl knit pattern, bell bottoms pdf, easy knit pattern, knit pdf"
meri,"Meri Top, girl dress pattern, dress pdf, sewing pattern, sewing pdf, high low pattern, top pdf, girl sewing pattern, children pattern"